data year,full lengths,group_id,site_code,Full_ID,Mode
2017,205,16,52,2017_05_28_052_13_01_16,R
2017,205,16,52,2017_05_28_052_13_01_16,R
2017,210,16,52,2017_05_28_052_13_01_16,R
2017,213,16,52,2017_05_28_052_13_01_16,R
2017,214,16,52,2017_05_28_052_13_01_16,R
2017,214,16,52,2017_05_28_052_13_01_16,R
2017,220,16,52,2017_05_28_052_13_01_16,R
2017,224,16,52,2017_05_28_052_13_01_16,R
2017,202,17,52,2017_05_28_052_13_01_17,R
2017,217,17,52,2017_05_28_052_13_01_17,R
2017,221,17,52,2017_05_28_052_13_01_17,R
2017,237,17,52,2017_05_28_052_13_01_17,R
2017,239,17,52,2017_05_28_052_13_01_17,R
2017,235,17,52,2017_05_28_052_13_01_17,R
2017,194,18,52,2017_05_28_052_13_01_18,R
2017,211,18,52,2017_05_28_052_13_01_18,R
2017,220,18,52,2017_05_28_052_13_01_18,R
2017,233,18,52,2017_05_28_052_13_01_18,R
2017,195,19,52,2017_05_28_052_13_01_19,R
2017,195,19,52,2017_05_28_052_13_01_19,R
2017,200,19,52,2017_05_28_052_13_01_19,R
2017,200,19,52,2017_05_28_052_13_01_19,R
2017,202,19,52,2017_05_28_052_13_01_19,R
2017,175,19,52,2017_05_28_052_13_01_19,R
2017,211,20,52,2017_05_28_052_13_01_20,R
2017,211,20,52,2017_05_28_052_13_01_20,R
2017,212,20,52,2017_05_28_052_13_01_20,R
2017,213,20,52,2017_05_28_052_13_01_20,R
2017,217,20,52,2017_05_28_052_13_01_20,R
2017,219,20,52,2017_05_28_052_13_01_20,R
2017,186,1,52,2017_05_29_052_14_01_01,R
2017,202,1,52,2017_05_29_052_14_01_01,R
2017,209,1,52,2017_05_29_052_14_01_01,R
2017,210,1,52,2017_05_29_052_14_01_01,R
2017,214,1,52,2017_05_29_052_14_01_01,R
2017,228,1,52,2017_05_29_052_14_01_01,R
2017,204,2,52,2017_05_29_052_14_01_02,R
2017,205,2,52,2017_05_29_052_14_01_02,R
2017,207,2,52,2017_05_29_052_14_01_02,R
2017,212,3,52,2017_05_29_052_14_01_03,R
2017,215,3,52,2017_05_29_052_14_01_03,R
2017,217,3,52,2017_05_29_052_14_01_03,R
2017,217,3,52,2017_05_29_052_14_01_03,R
2017,218,3,52,2017_05_29_052_14_01_03,R
2017,220,3,52,2017_05_29_052_14_01_03,R
2017,192,4,52,2017_05_29_052_14_01_04,R
2017,196,4,52,2017_05_29_052_14_01_04,R
2017,198,4,52,2017_05_29_052_14_01_04,R
2017,202,4,52,2017_05_29_052_14_01_04,R
2017,203,4,52,2017_05_29_052_14_01_04,R
2017,204,4,52,2017_05_29_052_14_01_04,R
2017,208,4,52,2017_05_29_052_14_01_04,R
